Idle_Ratio,SST_degC,Salinity_psu,Speed_Ratio,Coating_Age_months,Region_Risk,Season_Risk,Niche_Score
1.0,0.714,0.75,0.4,0.6,0.8,0.8,0.725
0.792,0.714,0.75,0.4,0.6,0.8,0.8,0.725
1.0,0.714,0.75,0.4,0.6,0.8,0.6,0.725
1.0,0.714,0.75,0.4,0.6,0.8,0.6,0.725
1.0,0.714,0.75,0.4,0.6,0.8,0.6,0.725
1.0,0.714,0.75,0.4,0.6,0.8,0.6,0.725
1.0,0.714,0.75,0.4,0.6,0.8,0.8,0.725
0.0,0.795,0.631,0.4,0.6,1.0,0.8,0.725
0.0,0.746,0.883,0.4,0.6,1.0,0.8,0.725
1.0,0.143,0.875,0.4,0.6,0.2,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
1.0,0.857,0.875,0.4,0.6,1.0,0.8,0.725
0.0,0.357,0.928,0.4,0.6,0.6,0.8,0.725
0.0,0.77,0.824,0.4,0.6,1.0,0.8,0.725
0.917,0.286,0.625,0.4,0.6,0.4,0.8,0.725
0.917,0.286,0.625,0.4,0.6,0.4,0.8,0.725
0.833,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
1.0,0.286,0.625,0.4,0.6,0.4,0.8,0.725
